job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network
276,6064750.0,68,0.5,0.75,32,0,8.0,15.0,15.0,19.0,1000
277,6064809.0,68,0.5,0.75,32,0,8.0,15.0,15.0,19.0,1000
278,6066110.0,148,0.5,0.75,64,0,8.0,15.0,15.0,12.0,1000
279,6068408.0,182,0.5,0.75,128,0,8.0,15.0,15.0,12.0,1000
280,6071300.0,78,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
281,6071605.0,76,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
282,6074134.0,74,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
283,6074551.0,46,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
284,6074729.0,50,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
285,6074930.0,48,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
286,6074983.0,44,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
287,6075026.0,48,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
288,6075090.0,146,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
289,6075220.0,100,0.5,0.75,128,0,8.0,15.0,15.0,10.0,1000
290,6117287.0,76,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
291,6117425.0,62,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
292,6128658.0,78,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
293,6129263.0,668,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
294,6134260.0,1272,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
295,6135213.0,686,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
296,6138773.0,678,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
297,6147516.0,118,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
298,6147691.0,74,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
299,6219334.0,72,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
300,6219500.0,680,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
301,6221697.0,158,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
302,6221956.0,620,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
303,6472845.0,7190,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
304,6477664.0,162,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
305,6483292.0,76,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
306,6618860.0,189224,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
307,6730798.0,4278,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
308,6747002.0,4338,0.5,0.75,128,0,8.0,15.0,15.0,14.0,1000
309,7325011.0,700,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
310,7325726.0,698,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
311,7326395.0,726,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
312,7327090.0,702,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
313,7327649.0,448,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
314,7327813.0,546,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
315,7339962.0,504,0.5,0.25,2,0,8.0,15.0,15.0,10.0,500
316,7777148.0,838,0.5,0.75,128,0,8.0,15.0,15.0,11.0,1000
317,7778266.0,1868,0.5,0.75,128,0,8.0,15.0,15.0,11.0,1000
318,7779474.0,674,0.5,0.75,128,0,8.0,15.0,15.0,11.0,1000
